#127.0.0.1 localhost
127.0.0.1 dlied5.tcdn.qq.com
127.0.0.1 dlied6.tcdn.qq.com
127.0.0.1 down.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 pingmid.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 vmp.qq.com

127.0.0.1 cdn.watest.qq.com
127.0.0.1 hkconfig.gcloud.qq.com
132.232.173.220 cs.mbgame.gamesafe.qq.com
132.232.173.228 oth.eve.mdt.qq.com
127.0.0.1 idcconfig.gcloud.qq.com
127.0.0.1 logs.game.qq.com
127.0.0.1 szmg.qq.com
127.0.0.1 www.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 ns2.qq.com
127.0.0.1 ns1.qq.com
127.0.0.1 app.qq.com
127.0.0.1 mail.qq.com
127.0.0.1 shop.qq.com
127.0.0.1 172.104.163.233
127.0.0.1 pingma.qq.com:80
127.0.0.1 oth.eve.mdt.qq.com:8080
127.0.0.1 android.bugly.qq.com
127.0.0.1 cloud.gsdk.p
127.0.0.1 down.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 223.167.86.33
127.0.0.1 com.tencent.ig
127.0.0.1 com.tencent.tmgp.cf
127.0.0.1 ocsp2.globalsign.com
127.0.0.1 bootcss.com
127.0.0.1 ns-open1.qq.com
132.232.197.88 pingma.qq.com
127.0.0.1 android.bugly.qq.com
127.0.0.1 commdata.v.qq.com
127.0.0.1 clientreport.gfm.qq.com
127.0.0.1 3gimg.qq.com
127.0.0.1 4g.qq.com
127.0.0.1 cdn.read.html5.qq.com
127.0.0.1 113.17.231.235 
127.0.0.1 statistic.3g.qq.com
127.0.0.1 quan.qq.com
127.0.0.1 202.100.176.225
127.0.0.1 gp.3g.qq.com
127.0.0.1 dlied1.tcdn.qq.com
127.0.0.1 dlied2.tcdn.qq.com
127.0.0.1 dlied3.tcdn.qq.com
127.0.0.1 dlied4.tcdn.qq.com
127.0.0.1 dlied5.tcdn.qq.com
127.0.0.1 dlied6.tcdn.qq.com
132.232.173.220 cs.mbgame.gamesafe.qq.com
132.232.173.228 oth.eve.mdt.qq.com
140.205.34.12 yun-hl.3g.qq.com
140.205.34.12 idcconfig.gcloud.qq.com
140.205.34.12 mazu.3g.qq.com
140.205.34.12 aeventlog.beacon.qq.com
140.205.34.12 configsvr.msf.3g.qq.com
140.205.34.12 msfwifi.3g.qq.com
140.205.34.12 sqlobby.pg.com
140.205.34.12 pg.qq.com
140.205.34.12 gameeve.beacon.qq.com
140.205.34.12 gamestr.beacon.qq.com
140.205.34.12 app.adjust.com
140.205.34.12 me.xdrig.com
140.205.34.12 udpolimenew.baidu.com
140.205.34.12 vp.html5.qq.com
140.205.34.12 abc.binmt.cc
140.205.34.12 apilocate.amap.com
140.205.34.12 alog.umeng.com
140.205.34.12 r6.mo.baidu.com
140.205.34.12 qs.game.qq.com
140.205.34.12 qos.gcloud.qq.com
140.205.34.12 cgi.connect.qq.com
140.205.34.12 graph.facebook.com
140.205.34.12 openmobile.qq.com
140.205.34.12 mapp.qzone.qq.com
140.205.34.12 rlog.video.qq.com
140.205.34.12 rr.video.qq.com
140.205.34.12 cdn.wetst.qq.com
140.205.34.12 apn.wetst.qq.com
140.205.34.12 idc.receiver.tdm.qq.com
140.205.34.12 qos.game.qq.com
140.205.34.12 apm.wetst.qq.com
140.205.34.12 tools.3g.qq.com
140.205.34.12 cs.mbgame.gamesafe.qq.com
140.205.34.12 wspeed.qq.com
140.205.34.12 bksdksq.video.qq.com
140.205.34.12 bkvv.video.qq.con
140.205.34.12 apse.ludashi.com
140.205.34.12 sq9.pg.qq.com
140.205.34.12 str.mdt.qq.com
140.205.34.12 sqlobby.pg.qq.com
140.205.34.12 gcloud.qq.com
127.0.0.1 dldir3.qq.com
127.0.0.1 dlied.myapp.com
127.0.0.1 dlied1.cdntips.com
127.0.0.1 dlied1.myapp.com
127.0.0.1 dlied1.qq.com
127.0.0.1 dlied2.qq.com
127.0.0.1 dlied4.myapp.com
127.0.0.1 dlied4.qq.com
127.0.0.1 dlied5.myapp.com
127.0.0.1 dlied5.qq.com
127.0.0.1 dlied6.qq.com
127.0.0.1 down-update.qq.com
127.0.0.1 down.qq.com
127.0.0.1 own-update.qq.com
127.0.0.1 update1.dlied.qq.com
127.0.0.1 wgdl.qq.com
127.0.0.1 dl.tcdntip.com
132.232.173.220 cs.mbgame.gamesafe.qq.com
132.232.173.228 oth.eve.mdt.qq.com
127.0.0.1 cdn.wetest.qq.com
127.0.0.1 hkconfig.gcloud.qq.com 
0.0.0.0 pingma.qq.com
0.0.0.0 apse.s.ludashi.com
0.0.0.0 oth.eve.mdt.qq.com
127.0.0.1 ulogs.umeng.com
127.0.0.1 api.phenixos.com
127.0.0.1 plbslog.umeng.com
127.0.0.1 pubg.mobile.com
47.107.84.98 oth.eve.mdt.qq.com
47.107.84.98 pingma.qq.com
47.107.84.98 oth.eve.mdt.qq.com
47.107.84.98 pingma.qq.com
47.107.84.98 apse.s.ludashi.com
47.107.84.98 mtrace.qq.com
47.107.84.98 cmshow.gtimg.cn
47.107.84.98 android.rqd.qq.com
47.107.84.98 cloud.pinyin.2345.com
47.107.84.98 smsbook.bbk.com
47.107.84.98 android.rqd.qq.com
47.107.84.98 c.isdspeed.qq.com
47.107.84.98 s8.url.cn
47.107.84.98 dl.url.cn
47.107.84.98 masdk.3g.qq.com
47.107.84.98 apse.s.ludashi.com
47.107.84.98 apse.s.ludashi.com
47.107.84.98 sysupgrade.vivo.com.cn
47.107.84.98 ts8.qq.com
47.107.84.98 magazineunlock.vivo.com.cn
47.107.84.98 configsvr.msf.3g.qq.com
47.107.84.98 apse.s.ludashi.com
47.107.84.98 oth.str.mdt.qq.com
47.107.84.98 configsvr.msf.3g.qq.com
47.107.84.98 tpns.qq.com
47.107.84.98 pmir.3g.qq.com
47.107.84.98 cgi.connect.qq.com
47.107.84.98 qos.game.qq.com
47.107.84.98 cdn.wetest.qq.com
47.107.84.98 kog.vmp.qq.com
47.107.84.98 219.151.17.35
47.107.84.98 t.ie.2345.com
47.107.84.98 59.63.237.72
47.107.84.98 zhizi.qq.com
47.107.84.98 183.3.253.72
47.107.84.98 59.37.96.67
47.107.84.98 219.151.17.41
47.107.84.98 113.96.200.103
47.107.84.98 theme.vivo.com.cn
47.107.84.98 apse.s.ludashi.com
47.107.84.98 appnext.hs.llnwd.net
47.107.84.98 aeventlog.beacon.qq.com
47.107.84.98 i.gtimg.cn
47.107.84.98 mapp.qzone.qq.com
47.107.84.98 masdk.3g.qq.com
47.107.84.98 r6.mo.baidu.com
47.107.84.98 sngapm.qq.com
47.107.84.98 zhizi.qq.com
47.107.84.98 aeventlog.beacon.qq.com
132.232.173.228 gameguardian.net
132.232.173.228 gameguardian.com
132.232.173.228 gameguardian.cn
132.232.173.228 oth.eve.mdt.qq.com
132.232.173.225 oth.eve.mdt.qq.com
132.232.173.224 oth.eve.mdt.qq.com
132.232.173.228 pingma.qq.com
132.232.173.227 pingma.qq.com
132.232.173.226 pingma.qq.com
132.232.173.228 q.qlogo.cn
132.232.173.227 q.qlogo.cn
132.232.173.226 q.qlogo.cn
132.232.173.228 cdn.wetest.qq.com
132.232.173.223 cdn.wetest.qq.com
132.232.173.229 cdn.wetest.qq.com
132.232.173.228 oth.str.mdt.qq.com
132.232.173.228 dlied1.qq.com
132.232.173.238 dlied1.qq.com
132.232.173.220 dlied1.qq.com
132.232.173.229 dlied1.qq.com
132.232.173.228 appsupport.qq.com
132.232.173.228 qos.game.qq.com
132.232.173.238 oth.str.mdt.qq.com
132.232.197.87 dlied1.qq.com
132.232.197.86 dlied1.qq.com
132.232.197.85 dlied1.qq.com
132.232.197.84 mb.yidianzixun.com
132.232.197.83 qos.game.qq.com
132.232.197.86 gameguardian.net
132.232.197.85 gameguardian.com
132.232.197.87 gameguardian.cn
132.232.197.84 oth.eve.mdt.qq.com
132.232.197.88 oth.eve.mdt.qq.com
132.232.197.87 oth.eve.mdt.qq.com
132.232.197.88 pingma.qq.com
132.232.197.86 pingma.qq.com
132.232.197.87 pingma.qq.com
132.232.197.67 q.qlogo.cn
132.232.197.97 q.qlogo.cn
132.232.197.87 q.qlogo.cn
132.232.197.37 cdn.wetest.qq.com
132.232.197.87 cdn.wetest.qq.com
132.232.197.47 cdn.wetest.qq.com
132.232.197.87 appsupport.qq.com
132.232.197.67 oth.str.mdt.qq.com
132.232.197.47 oth.str.mdt.qq.com
132.232.197.87 oth.str.mdt.qq.com
132.232.197.67 android.bugly.qq.com
132.232.197.57 android.bugly.qq.com
132.232.197.87 android.bugly.qq.com
132.232.197.87 cs.mbgame.gamesafe.qq.com
140.205.34.12 yun-hl.3g.qq.com
